"property_type","size_sqft","parking","elevator","floor","price_bdt","service_charge_bdt","year_built","building_registration_type","preferred_tenant","furnished","garage_size_sqft","front_road_size_ft","common_area_size_sqft","bedrooms","bathrooms","location","country"
"Residential Apartment","2700","1","2","9","160000",NA,2010,"Residential","Foreigner","Un-Furnished","120","24","150","4","4","Gulshan","Bangladesh"
"Commercial Space","3300","2","1","2","170000","15000",2002,NA,"Corporate Office or MNC Office","Un-Furnished","240","30","250",NA,NA,"Banani","Bangladesh"
"Commercial Space","2500","1","1","1","110000","8000",2000,NA,"Corporate Office or MNC Office","Un-Furnished","120","25","180",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","3372","1","1","8","573240","50580",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","60","280",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","6000","2","2","6, 8 & 10","400000",NA,2014,"Residential","Foreigner","Un-Furnished","240","24","450","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","1900","1","4","3","237500","20900",2010,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","40","150",NA,NA,"Banani","Bangladesh"
"Commercial Space","2965","1","2","9","444750","29650",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","60","250",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","3800","1","4","2","475000","41800",2010,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","40","250",NA,NA,"Banani","Bangladesh"
"Commercial Space","2800","2","2","6","120000","10000",2014,NA,"Corporate Office or MNC Office","Un-Furnished","240","40","220",NA,NA,"Banani","Bangladesh"
"Commercial Space","3200","2","1","1","250000","20000",2013,NA,"Corporate Office or MNC Office","Semi-Furnished","240","30","220",NA,NA,"Banani","Bangladesh"
"Commercial Space","2200","2","2","5","110000","10000",2017,NA,"Corporate Office or MNC Office","Un-Furnished","240","40","180",NA,NA,"Banani","Bangladesh"
"Commercial Space","26500","4","4","23","4505000","450500",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","480","40","1550",NA,NA,"Tejgaon","Bangladesh"
"Residential Apartment","2000","1","1","1","100000","10000",2000,"Residential","Foreigner","Un-Furnished","120","24","180","3","3","Gulshan","Bangladesh"
"Commercial Space","2300","1","2","3","140000","13000",2022,NA,"Corporate Office or MNC Office","Un-Furnished","120","30","180",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","1200","1","1","4","90000","5000",2015,"Residential","Corporate Office or MNC Office","Un-Furnished","120","30","120",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3500","2","2","1","240000","30000",2017,"Residential","Foreigner","Semi-Furnished","240","24","250","4","4","Gulshan","Bangladesh"
"Commercial Space","2800","1","1","6","120000","10000",2010,"Residential","Corporate Office or MNC Office","Un-Furnished","120","30","180",NA,NA,"Banani","Bangladesh"
"Commercial Space","2500","1","2","8 & 9","450000","25000",2015,"Commercial","Corporate Office or MNC Office","Semi-Furnished","120","50","220",NA,NA,"Banani","Bangladesh"
"Commercial Space","1301","1","2","5","195150","13010",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","60","150",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","2651","1","2","1","927850","39765",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","60","220",NA,NA,"Banani","Bangladesh"
"Commercial Space","3372","1","2","4","573240","50580",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","60","350",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3150","2","2","5","110000","12000",2015,"Residential","Foreigner","Un-Furnished","240","16","220","4","4","Banani","Bangladesh"
"Commercial Space","3000","1","3","7","600000","60000",2012,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","60","250",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2500","1","1","2","110000","10000",2007,"Residential","Foreigner","Furnished","120","16","220","3","3","Gulshan","Bangladesh"
"Commercial Space","1700","1","1","3","200000",NA,2000,"Commercial","Corporate Office or MNC Office","Furnished","120","60","180",NA,NA,"Gulshan","Bangladesh"
